nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label
NCT00000867,PHASE2,AIDS Dementia Complex,DRUG,NIH,120.0,COMPLETED,
NCT00000868,PHASE1,HIV Infections,BIOLOGICAL,NIH,27.0,COMPLETED,
NCT00000869,PHASE3,HIV Infections,DRUG,NIH,2009.0,COMPLETED,
NCT00000870,PHASE2,HIV Infections,DRUG,NIH,200.0,COMPLETED,
NCT00000871,PHASE2,HIV Infections,BIOLOGICAL,NIH,420.0,COMPLETED,
NCT00000872,PHASE2,HIV Infections,DRUG,NIH,55.0,COMPLETED,
NCT00000873,NA,HIV Infections,DRUG,NIH,2400.0,COMPLETED,
NCT00000874,,HIV Infections,,NIH,148.0,COMPLETED,
NCT00000875,NA,HIV Infections,DRUG,NIH,16.0,TERMINATED,
NCT00000876,PHASE1,HIV Infections,DRUG,NIH,12.0,COMPLETED,
NCT00000877,PHASE1,HIV Infections,DRUG,NIH,31.0,COMPLETED,
NCT00000878,PHASE1,HIV Infections,DRUG,NIH,26.0,COMPLETED,
NCT00000879,PHASE1,HIV Infections,BIOLOGICAL,NIH,48.0,COMPLETED,
NCT00000880,PHASE2,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00000881,PHASE1,Cytomegalovirus Infections,DRUG,NIH,0.0,WITHDRAWN,
NCT00000882,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00000883,NA,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,636.0,COMPLETED,
NCT00000884,PHASE1,HIV Infections,BIOLOGICAL,NIH,84.0,COMPLETED,
NCT00000885,PHASE2,HIV Infections,DRUG,NIH,440.0,COMPLETED,
NCT00000886,PHASE1,HIV Infections,BIOLOGICAL,NIH,24.0,COMPLETED,
NCT00000887,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000888,PHASE1,HIV Infections,DRUG,NIH,14.0,COMPLETED,
NCT00000889,PHASE2,HIV Infections,DRUG,NIH,72.0,COMPLETED,
NCT00000890,,HIV Infections,,NIH,200.0,COMPLETED,
NCT00000891,PHASE2,HIV Infections,DRUG,NIH,34.0,COMPLETED,
NCT00000892,NA,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00000893,PHASE1,HIV Infections,DRUG,NIH,103.0,COMPLETED,
NCT00000894,PHASE4,Cytomegalovirus Retinitis,DRUG,NIH,300.0,COMPLETED,
NCT00000895,NA,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,85.0,COMPLETED,
NCT00000896,NA,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000897,NA,HIV Infections,DRUG,NIH,42.0,COMPLETED,
NCT00000898,NA,HIV Infections,DRUG,NIH,18.0,COMPLETED,
NCT00000899,PHASE1,HIV Infections,DRUG,NIH,10.0,COMPLETED,
NCT00000900,,HIV Infections,,NIH,26.0,COMPLETED,
NCT00000901,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000902,PHASE1,HIV Infections,DRUG,NIH,217.0,COMPLETED,
NCT00000903,PHASE3,HIV Infections,DRUG,NIH,444.0,COMPLETED,
NCT00000904,PHASE1,HIV Infections,BIOLOGICAL,NIH,100.0,COMPLETED,
NCT00000905,,Cytomegalovirus Retinitis,,NIH,75.0,COMPLETED,
NCT00000906,PHASE1,HIV Infections,DRUG,NIH,12.0,COMPLETED,
NCT00000907,,Mycobacterium Avium-Intracellulare Infection,,NIH,50.0,COMPLETED,
NCT00000908,,"Pneumonia, Pneumocystis Carinii",,NIH,250.0,COMPLETED,
NCT00000909,PHASE2,HIV Infections,DRUG,NIH,36.0,COMPLETED,
NCT00000910,,HIV Infections,,NIH,2000.0,COMPLETED,
NCT00000911,,HIV Infections,,NIH,1500.0,COMPLETED,
NCT00000912,PHASE2,HIV Infections,DRUG,NIH,475.0,COMPLETED,
NCT00000913,PHASE2,HIV Infections,DRUG,NIH,50.0,COMPLETED,
NCT00000914,NA,HIV Infections,DRUG,NIH,800.0,COMPLETED,
NCT00000915,NA,HIV Infections,BEHAVIORAL,NIH,4892.0,COMPLETED,
NCT00000916,PHASE2,HIV Infections,DRUG,NIH,399.0,COMPLETED,
NCT00000917,,HIV Infections,,NIH,200.0,TERMINATED,
NCT00000918,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00000919,NA,HIV Infections,DRUG,NIH,900.0,COMPLETED,
NCT00000920,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000921,PHASE2,HIV Infections,DRUG,NIH,118.0,COMPLETED,
NCT00000922,NA,HIV Infections,DRUG,NIH,1710.0,COMPLETED,
NCT00000923,NA,HIV Infections,DRUG,NIH,110.0,COMPLETED,
NCT00000924,PHASE2,HIV Infections,DRUG,NIH,120.0,COMPLETED,
NCT00000925,PHASE2,HIV Infections,DRUG,NIH,56.0,COMPLETED,
NCT00000926,PHASE3,HIV Infections,DRUG,NIH,4400.0,COMPLETED,
NCT00000927,PHASE1,HIV Infections,DRUG,NIH,40.0,COMPLETED,
NCT00000928,PHASE1,HIV Infections,BEHAVIORAL,NIH,90.0,COMPLETED,
NCT00000929,PHASE1,HIV Infections,DRUG,NIH,70.0,COMPLETED,
NCT00000930,,HIV Infections,,NIH,,COMPLETED,
NCT00000931,PHASE3,HIV Infections,BEHAVIORAL,NIH,4350.0,COMPLETED,
NCT00000932,,HIV Infections,,NIH,3669.0,COMPLETED,
NCT00000933,,Mycobacterium Avium-intracellulare Infection,,NIH,326.0,COMPLETED,
NCT00000935,PHASE3,End-Stage Renal Disease,BIOLOGICAL,NIH,100.0,COMPLETED,
NCT00000936,PHASE3,Kidney Transplantation,DRUG,NIH,292.0,TERMINATED,
NCT00000937,PHASE3,Lyme Disease,DRUG,NIH,55.0,COMPLETED,
NCT00000938,PHASE3,Lyme Disease,DRUG,NIH,66.0,COMPLETED,
NCT00000939,PHASE2,HIV Infections,DRUG,NIH,150.0,COMPLETED,
NCT00000940,PHASE2,HIV Infections,DRUG,NIH,121.0,COMPLETED,
NCT00000941,PHASE1,HIV Infections,DRUG,NIH,56.0,COMPLETED,
NCT00000942,PHASE3,HIV Infections,DRUG,NIH,1244.0,COMPLETED,
NCT00000943,NA,HIV Infections,BIOLOGICAL,NIH,50.0,COMPLETED,
NCT00000944,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000945,NA,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00000946,PHASE1,HIV Infections,BIOLOGICAL,NIH,40.0,COMPLETED,
NCT00000947,NA,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,850.0,COMPLETED,
NCT00000948,PHASE2,HIV Infections,DRUG,NIH,72.0,COMPLETED,
NCT00000949,PHASE3,HIV Infections,DRUG,NIH,460.0,COMPLETED,
NCT00000950,NA,HIV Infections,DRUG,NIH,50.0,COMPLETED,
NCT00000951,PHASE4,"Candidiasis, Oral",DRUG,OTHER,948.0,COMPLETED,
NCT00000952,PHASE1,HIV Infections,DRUG,NIH,60.0,COMPLETED,
NCT00000953,PHASE2,HIV Infections,DRUG,INDUSTRY,180.0,COMPLETED,
NCT00000954,PHASE1,"Sarcoma, Kaposi",DRUG,INDUSTRY,72.0,COMPLETED,
NCT00000955,NA,HIV Infections,DRUG,INDUSTRY,864.0,COMPLETED,
NCT00000956,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,25.0,COMPLETED,
NCT00000957,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,30.0,COMPLETED,
NCT00000958,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,8.0,COMPLETED,
NCT00000959,NA,HIV Infections,DRUG,NIH,600.0,COMPLETED,
NCT00000960,PHASE3,HIV Infections,DRUG,INDUSTRY,1496.0,COMPLETED,
NCT00000961,PHASE2,HIV Infections,DRUG,INDUSTRY,112.0,TERMINATED,
NCT00000962,PHASE1,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,
NCT00000963,PHASE2,HIV Infections,DRUG,INDUSTRY,300.0,COMPLETED,
NCT00000964,PHASE1,HIV Infections,DRUG,NIH,6.0,COMPLETED,
NCT00000965,NA,HIV Infections,DRUG,INDUSTRY,20.0,COMPLETED,
NCT00000966,PHASE1,"Toxoplasmosis, Cerebral",DRUG,NIH,45.0,COMPLETED,
NCT00000967,PHASE1,HIV Infections,DRUG,INDUSTRY,52.0,COMPLETED,
NCT00000968,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,60.0,COMPLETED,
NCT00000969,NA,HIV Infections,DRUG,INDUSTRY,400.0,COMPLETED,
NCT00000970,PHASE1,Cytomegalovirus Retinitis,DRUG,INDUSTRY,30.0,COMPLETED,
NCT00000971,PHASE1,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,24.0,COMPLETED,
NCT00000972,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,64.0,COMPLETED,
NCT00000973,PHASE1,"Toxoplasmosis, Cerebral",DRUG,INDUSTRY,26.0,COMPLETED,
NCT00000974,PHASE1,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,16.0,COMPLETED,
NCT00000975,PHASE2,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,
NCT00000976,PHASE1,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,
NCT00000977,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,52.0,COMPLETED,
NCT00000978,PHASE1,HIV Infections,DRUG,INDUSTRY,68.0,COMPLETED,
NCT00000979,PHASE2,HIV Infections,DRUG,INDUSTRY,1500.0,COMPLETED,
NCT00000980,PHASE1,Cryptosporidiosis,DRUG,NIH,25.0,COMPLETED,
NCT00000981,PHASE2,Cytomegalovirus Infections,DRUG,INDUSTRY,78.0,COMPLETED,
NCT00000982,PHASE2,Encephalopathies,DRUG,NIH,75.0,COMPLETED,
NCT00000983,PHASE2,HIV Infections,DRUG,INDUSTRY,400.0,COMPLETED,
NCT00000984,PHASE1,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,
NCT00000985,PHASE3,Herpes Simplex,DRUG,NIH,26.0,COMPLETED,
NCT00000986,PHASE1,HIV Infections,DRUG,NIH,18.0,COMPLETED,
NCT00000987,PHASE1,"Sarcoma, Kaposi",DRUG,NIH,36.0,COMPLETED,
NCT00000988,PHASE1,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,
NCT00000989,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,50.0,COMPLETED,
NCT00000990,PHASE2,HIV Infections,DRUG,NIH,224.0,COMPLETED,
NCT00000991,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,600.0,COMPLETED,
NCT00000992,PHASE1,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00000993,NA,HIV Infections,DRUG,NIH,,COMPLETED,
NCT00000994,PHASE3,HIV Infections,DRUG,NIH,240.0,COMPLETED,
NCT00000995,NA,Cytomegalovirus Infections,DRUG,NIH,60.0,COMPLETED,
NCT00000996,PHASE2,"Sarcoma, Kaposi",DRUG,NIH,48.0,COMPLETED,
NCT00000997,NA,HIV Infections,DRUG,NIH,12.0,COMPLETED,
NCT00000998,PHASE1,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,50.0,COMPLETED,
NCT00000999,PHASE1,HIV Infections,DRUG,NIH,500.0,COMPLETED,
NCT00001000,NA,HIV Infections,DRUG,NIH,20.0,COMPLETED,
NCT00001001,NA,HIV Infections,DRUG,NIH,39.0,COMPLETED,
NCT00001002,PHASE1,HIV Infections,DRUG,NIH,12.0,COMPLETED,
NCT00001003,NA,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,20.0,COMPLETED,
NCT00001004,PHASE2,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00001005,PHASE1,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00001006,PHASE1,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00001007,PHASE1,HIV Infections,DRUG,INDUSTRY,18.0,COMPLETED,
NCT00001008,NA,HIV Infections,DRUG,NIH,18.0,COMPLETED,
NCT00001009,PHASE1,HIV Infections,DRUG,NIH,60.0,COMPLETED,
NCT00001010,PHASE1,HIV Infections,DRUG,NIH,72.0,COMPLETED,
NCT00001011,PHASE3,HIV Infections,DRUG,NIH,538.0,COMPLETED,
NCT00001012,PHASE1,HIV Infections,DRUG,NIH,50.0,COMPLETED,
NCT00001013,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,364.0,COMPLETED,
NCT00001014,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,302.0,COMPLETED,
NCT00001015,PHASE1,HIV Infections,DRUG,NIH,96.0,COMPLETED,
NCT00001016,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,NIH,,COMPLETED,
NCT00001017,PHASE3,"Meningitis, Cryptococcal",DRUG,NIH,330.0,COMPLETED,
NCT00001018,PHASE1,Cryptosporidiosis,DRUG,INDUSTRY,32.0,COMPLETED,
NCT00001019,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,48.0,COMPLETED,
NCT00001020,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,28.0,COMPLETED,
NCT00001021,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,57.0,COMPLETED,
NCT00001022,PHASE3,HIV Infections,DRUG,NIH,1200.0,COMPLETED,
NCT00001023,NA,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,91.0,COMPLETED,
NCT00001024,NA,HIV Infections,DRUG,INDUSTRY,32.0,COMPLETED,
NCT00001025,PHASE2,HIV Infections,DRUG,INDUSTRY,120.0,COMPLETED,
NCT00001026,PHASE1,HIV Infections,BIOLOGICAL,NIH,56.0,COMPLETED,
NCT00001027,PHASE1,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,32.0,COMPLETED,
NCT00001028,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,400.0,COMPLETED,
NCT00001029,PHASE2,HIV Infections,DRUG,INDUSTRY,654.0,COMPLETED,
NCT00001030,PHASE3,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,1100.0,COMPLETED,
NCT00001031,PHASE2,HIV Infections,BIOLOGICAL,INDUSTRY,296.0,COMPLETED,
NCT00001032,PHASE2,HIV Infections,DRUG,NIH,180.0,COMPLETED,
NCT00001033,PHASE3,HIV Infections,DRUG,NIH,650.0,COMPLETED,
NCT00001034,PHASE2,Cytomegalovirus Retinitis,DRUG,INDUSTRY,850.0,COMPLETED,
NCT00001035,PHASE1,HIV Infections,DRUG,INDUSTRY,10.0,COMPLETED,
NCT00001036,PHASE1,HIV Infections,DRUG,NIH,12.0,COMPLETED,
NCT00001037,PHASE1,HIV Infections,BIOLOGICAL,NIH,22.0,COMPLETED,
NCT00001038,PHASE3,Cytomegalovirus Infections,DRUG,INDUSTRY,1200.0,COMPLETED,
NCT00001039,PHASE2,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,24.0,COMPLETED,
NCT00001040,PHASE2,HIV Infections,DRUG,INDUSTRY,300.0,COMPLETED,
NCT00001041,PHASE1,HIV Infections,BIOLOGICAL,NIH,24.0,COMPLETED,
NCT00001042,PHASE1,HIV Infections,BIOLOGICAL,NIH,112.0,COMPLETED,
NCT00001043,PHASE1,HIV Infections,BIOLOGICAL,NIH,20.0,COMPLETED,
NCT00001044,PHASE1,HIV Infections,BIOLOGICAL,NIH,80.0,COMPLETED,
NCT00001045,PHASE2,HIV Infections,DRUG,INDUSTRY,300.0,COMPLETED,
NCT00001046,PHASE1,HIV Infections,BIOLOGICAL,NIH,0.0,WITHDRAWN,
NCT00001047,PHASE3,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,400.0,COMPLETED,
NCT00001048,PHASE2,HIV Infections,DRUG,INDUSTRY,90.0,COMPLETED,
NCT00001049,PHASE1,HIV Infections,DRUG,NIH,180.0,COMPLETED,
NCT00001050,,HIV Infections,,NIH,1250.0,TERMINATED,
NCT00001052,PHASE1,HIV Infections,BIOLOGICAL,NIH,110.0,COMPLETED,
NCT00001053,PHASE1,HIV Infections,BIOLOGICAL,NIH,36.0,COMPLETED,
NCT00001054,PHASE1,Herpes Simplex,DRUG,INDUSTRY,0.0,WITHDRAWN,
NCT00001055,PHASE1,HIV Infections,BIOLOGICAL,NIH,76.0,COMPLETED,
NCT00001056,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,25.0,COMPLETED,
NCT00001057,PHASE2,HIV Infections,DRUG,NIH,105.0,COMPLETED,
NCT00001058,PHASE2,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,246.0,COMPLETED,
NCT00001059,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,120.0,COMPLETED,
NCT00001060,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,30.0,COMPLETED,
NCT00001061,PHASE2,Cytomegalovirus Retinitis,DRUG,INDUSTRY,167.0,COMPLETED,
NCT00001062,PHASE1,Cytomegalovirus Retinitis,DRUG,NIH,25.0,COMPLETED,
NCT00001063,PHASE2,HIV Infections,DRUG,INDUSTRY,200.0,COMPLETED,
NCT00001064,NA,HIV Infections,DRUG,NIH,,TERMINATED,
NCT00001065,PHASE2,"Candidiasis, Oral",DRUG,INDUSTRY,70.0,COMPLETED,
NCT00001066,PHASE2,HIV Infections,DRUG,INDUSTRY,740.0,COMPLETED,
NCT00001067,PHASE2,HIV Infections,DRUG,NIH,105.0,COMPLETED,
NCT00001068,PHASE2,HIV Infections,DRUG,NIH,210.0,COMPLETED,
NCT00001069,,HIV Infections,,NIH,1100.0,TERMINATED,
NCT00001070,NA,HIV Infections,DRUG,NIH,0.0,WITHDRAWN,
NCT00001071,NA,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00001072,PHASE1,HIV Infections,BIOLOGICAL,NIH,140.0,COMPLETED,
NCT00001073,PHASE3,HIV Infections,DRUG,NIH,150.0,COMPLETED,
NCT00001074,PHASE1,HIV Infections,DRUG,NIH,140.0,COMPLETED,
NCT00001075,NA,HIV Infections,DRUG,NIH,55.0,COMPLETED,
NCT00001076,PHASE1,HIV Infections,BIOLOGICAL,NIH,34.0,COMPLETED,
NCT00001077,,HIV Infections,DIETARY_SUPPLEMENT,NIH,536.0,COMPLETED,
NCT00001078,NA,HIV Infections,BIOLOGICAL,NIH,200.0,COMPLETED,
NCT00001079,PHASE2,HIV Infections,DRUG,NIH,80.0,COMPLETED,
NCT00001080,NA,HIV Infections,BIOLOGICAL,NIH,0.0,WITHDRAWN,
NCT00001081,PHASE2,Cryptosporidiosis,DRUG,NIH,60.0,COMPLETED,
NCT00001082,PHASE3,Cytomegalovirus Infections,DRUG,NIH,505.0,COMPLETED,
NCT00001083,PHASE2,HIV Infections,DRUG,NIH,240.0,COMPLETED,
NCT00001084,PHASE2,HIV Infections,DRUG,NIH,500.0,COMPLETED,
NCT00001085,PHASE2,HIV Infections,DRUG,NIH,94.0,COMPLETED,
NCT00001086,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00001087,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00001088,PHASE1,HIV Infections,BIOLOGICAL,NIH,40.0,COMPLETED,
NCT00001089,,Cytomegalovirus Infections,,NIH,400.0,COMPLETED,
NCT00001090,PHASE1,HIV Infections,BIOLOGICAL,NIH,36.0,COMPLETED,
NCT00001091,PHASE1,HIV Infections,DRUG,NIH,200.0,COMPLETED,
NCT00001092,,HIV Infections,,NIH,20.0,COMPLETED,
NCT00001093,,HIV Infections,,NIH,48.0,COMPLETED,
NCT00001094,PHASE2,HIV Infections,DRUG,NIH,0.0,WITHDRAWN,
NCT00001095,PHASE2,HIV Infections,DRUG,NIH,94.0,COMPLETED,
NCT00001096,PHASE1,HIV Infections,BIOLOGICAL,NIH,60.0,COMPLETED,
NCT00001097,,HIV Infections,,NIH,120.0,COMPLETED,
NCT00001100,PHASE3,Cytomegalovirus Infections,DRUG,NIH,130.0,COMPLETED,
NCT00001101,PHASE3,Lyme Disease,DRUG,NIH,194.0,COMPLETED,
NCT00001102,,HIV Infections,,NIH,460.0,COMPLETED,
NCT00001103,,Cognitive Disorders,,NIH,100.0,COMPLETED,
NCT00001104,PHASE3,HIV Infections,DRUG,NIH,538.0,COMPLETED,
NCT00001105,PHASE1,HIV Infections,DRUG,NIH,8.0,COMPLETED,
NCT00001106,PHASE1,HIV Infections,DRUG,NIH,40.0,COMPLETED,
NCT00001107,PHASE4,Candidiasis,DRUG,NIH,500.0,COMPLETED,
NCT00001108,PHASE1,HIV Infections,DRUG,NIH,6.0,COMPLETED,
NCT00001109,,HIV Infections,,NIH,630.0,COMPLETED,
NCT00001110,NA,HIV Infections,PROCEDURE,NIH,50.0,COMPLETED,
NCT00001111,NA,HIV Infections,DRUG,INDUSTRY,35.0,COMPLETED,
NCT00001112,PHASE1,HIV Infections,DRUG,NIH,5.0,COMPLETED,
NCT00001113,PHASE1,"Sarcoma, Kaposi",DRUG,NIH,48.0,COMPLETED,
NCT00001114,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,90.0,COMPLETED,
NCT00001115,NA,Herpes Simplex,DRUG,NIH,75.0,COMPLETED,
NCT00001116,NA,HIV Infections,DRUG,NIH,18.0,COMPLETED,
NCT00001117,,HIV Infections,,NIH,60.0,COMPLETED,
NCT00001118,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00001119,NA,HIV Infections,BIOLOGICAL,NIH,288.0,COMPLETED,
NCT00001120,,"Sarcoma, Kaposi",,NIH,5000.0,COMPLETED,
NCT00001121,,HIV Infections,,NIH,,COMPLETED,
NCT00001122,PHASE2,HIV Infections,DRUG,NIH,74.0,COMPLETED,
NCT00001123,NA,Hantavirus Pulmonary Syndrome,DRUG,NIH,130.0,COMPLETED,
NCT00001125,PHASE1,HIV Infections,BIOLOGICAL,NIH,60.0,COMPLETED,
NCT00001126,PHASE1,Papilloma,DRUG,NIH,36.0,COMPLETED,
NCT00001127,PHASE3,Influenza,BIOLOGICAL,INDUSTRY,15000.0,COMPLETED,
NCT00001128,NA,Cryptosporidiosis,DRUG,INDUSTRY,16.0,TERMINATED,
NCT00001129,NA,HIV Infections,DEVICE,NIH,1248.0,COMPLETED,
NCT00001130,,HIV Infections,,NIH,200.0,COMPLETED,
